,ISO_A3
11120,USA
11121,USA
11122,RUS
11123,FRA
11124,FRA
11125,DEU
11126,GBR
11127,GBR
11128,USA
11129,DEU
11130,DEU
11131,DEU
11132,DEU
11133,BEL
11134,BEL
11135,USA
11136,USA
11137,DEU
11138,USA
11139,USA
11140,AUS
11141,IRL
11142,ROU
11143,ROU
11144,ROU
11145,ROU
11146,ROU
11147,RUS
11148,RUS
11149,BGR
11150,GEO
11151,GEO
11152,MYS
11153,MYS
11154,AUS
11155,USA
11156,DEU
11157,FRA
11158,FRA
11159,FRA
11160,FRA
11161,FRA
11162,MDA
11163,HRV
11164,NOR
11165,NOR
11166,BGR
11167,BGR
11168,USA
11169,USA
11170,USA
11171,AUT
11172,AUT
11173,USA
11174,USA
11175,AUS
11176,DNK
11177,RUS
11178,HUN
11179,DEU
11180,GBR
11181,ROU
11182,GRC
11183,CZE
11184,CZE
11185,RUS
11186,RUS
11187,POL
11188,USA
11189,GBR
11190,AUT
11191,ITA
11192,CZE
11193,CZE
11194,RUS
11195,RUS
11196,RUS
11197,RUS
11198,KAZ
11199,RUS
11200,RUS
11201,HRV
11202,HRV
11203,DEU
11204,DEU
11205,HUN
11206,MEX
11207,ESP
11208,MEX
11209,CUB
11210,ESP
11211,ESP
11212,CUB
11213,FRA
11214,FRA
11215,NLD
11216,USA
11217,RUS
11218,RUS
11219,RUS
11220,RUS
11221,RUS
11222,RUS
11223,BLR
11224,BLR
11225,RUS
11226,SVK
11227,SVK
11228,HUN
11229,HUN
11230,FRA
11231,FRA
11232,FRA
11233,CHN
11234,CHN
11235,CHN
11236,KOR
11237,CHN
11238,CHN
11239,ITA
11240,FRA
11241,RUS
11242,POL
11243,FRA
11244,USA
11245,ESP
11246,PRI
11247,CUB
11248,URY
11249,CUB
11250,CUB
11251,CUB
11252,CUB
11253,CHL
11254,CHL
11255,CHL
11256,ESP
11257,ESP
11258,PRY
11259,ARG
11260,ARG
11261,ESP
11262,MEX
11263,ARG
11264,ARG
11265,ARG
11266,MEX
11267,ESP
11268,CUB
11269,CUB
11270,AUS
11271,ESP
11272,MEX
11273,MEX
11274,CUB
11275,ARG
11276,CHL
11277,CUB
11278,GBR
11279,CHE
11280,USA
11281,USA
11282,USA
11283,GBR
11284,GBR
11285,GBR
11286,GBR
11287,GBR
11288,GBR
11289,AUS
11290,CAN
11291,AUS
11292,IND
11293,IND
11294,USA
11295,USA
11296,USA
11297,USA
11298,GBR
11299,ZAF
11300,BEL
11301,RUS
11302,RUS
11303,RUS
11304,RUS
11305,CZE
11306,CZE
11307,BGR
11308,BGR
11309,SWE
11310,RUS
11311,RUS
11312,RUS
11313,RUS
11314,RUS
11315,RUS
11316,RUS
11317,RUS
11318,USA
11319,USA
11320,AUS
11321,USA
11322,JAM
11323,USA
11324,TTO
11325,TTO
11326,CAN
11327,GBR
11328,GBR
11329,GBR
11330,GBR
11331,RUS
11332,DEU
11333,DEU
11334,HUN
11335,AUT
11336,AUT
11337,POL
11338,POL
11339,KAZ
11340,ITA
11341,ITA
11342,ITA
11343,RUS
11344,USA
11345,USA
11346,USA
11347,CAN
11348,AUS
11349,AUS
11350,ARG
11351,RUS
11352,HUN
11353,RUS
11354,RUS
11355,RUS
11356,RUS
11357,RUS
11358,ESP
11359,RUS
11360,RUS
11361,RUS
11362,RUS
11363,RUS
11364,RUS
11365,USA
11366,POL
11367,POL
11368,DEU
11369,NLD
11370,RUS
11371,RUS
11372,DEU
11373,DEU
11374,DEU
11375,GBR
11376,AUS
11377,CAN
11378,CAN
11379,CAN
11380,NZL
11381,FRA
11382,USA
11383,DEU
11384,DEU
11385,CHE
11386,CHE
11387,FRA
11388,JPN
11389,GBR
11390,CHE
11391,AUT
11392,AUT
11393,DEU
11394,DEU
11395,AUT
11396,AUT
11397,AUT
11398,AUT
11399,AUT
11400,AUT
11401,AUT
11402,DEU
11403,DEU
11404,DEU
11405,DEU
11406,DEU
11407,IRN
11408,NZL
11409,NZL
11410,BEL
11411,FRA
11412,FRA
11413,USA
11414,USA
11415,USA
11416,AUS
11417,AUS
11418,AUS
11419,AUS
11420,AUS
11421,CAN
11422,GBR
11423,CAN
11424,FRA
11425,FRA
11426,FRA
11427,FRA
11428,FRA
11429,USA
11430,USA
11431,CAN
11432,CUB
11433,CUB
11434,CUB
11435,GRC
11436,AUS
11437,USA
11438,CAN
11439,CAN
11440,CAN
11441,RUS
11442,RUS
11443,RUS
11444,POL
11445,ITA
11446,ITA
11447,POL
11448,POL
11449,NOR
11450,NOR
11451,GBR
11452,NLD
11453,AUT
11454,KAZ
11455,ROU
11456,RUS
11457,DEU
11458,DEU
11459,DEU
11460,DEU
11461,GBR
11462,RUS
11463,RUS
11464,RUS
11465,MEX
11466,FRA
11467,DEU
11468,USA
11469,USA
11470,SWE
11471,USA
11472,BRA
11473,BRA
11474,BRA
11475,BRA
11476,BRA
11477,BRA
11478,BRA
11479,BRA
11480,RUS
11481,RUS
11482,AUT
11483,DEU
11484,DEU
11485,DEU
11486,CHE
11487,USA
11488,FRA
11489,ITA
11490,SWE
11491,SWE
11492,SWE
11493,SWE
11494,CAN
11495,AUS
11496,USA
11497,USA
11498,USA
11499,USA
11500,AUS
11501,AUS
11502,USA
11503,JAM
11504,JAM
11505,USA
11506,GBR
11507,JAM
11508,GBR
11509,JAM
11510,JAM
11511,DEU
11512,DEU
11513,DEU
11514,GBR
11515,GBR
11516,GBR
11517,GBR
11518,GBR
11519,DEU
11520,DEU
11521,NOR
11522,USA
11523,USA
11524,ITA
11525,ITA
11526,CHE
11527,FRA
11528,SWE
11529,SWE
11530,SWE
11531,SWE
11532,USA
11533,USA
11534,FRA
11535,FRA
11536,RUS
11537,RUS
11538,FIN
11539,SWE
11540,FIN
11541,ZWE
11542,DEU
11543,DEU
11544,CAN
11545,CAN
11546,FRA
11547,NLD
11548,NLD
11549,USA
11550,USA
11551,USA
11552,USA
11553,USA
11554,FRA
11555,ITA
11556,ITA
11557,USA
11558,USA
11559,AUS
11560,AUS
11561,USA
11562,USA
11563,USA
11564,USA
11565,USA
11566,BRA
11567,USA
11568,USA
11569,RUS
11570,FRA
11571,RUS
11572,RUS
11573,ROU
11574,SWE
11575,USA
11576,GBR
11577,AUS
11578,USA
11579,AUS
11580,USA
11581,AUS
11582,GBR
11583,USA
11584,AUS
11585,AUS
11586,GBR
11587,USA
11588,USA
11589,GBR
11590,USA
11591,USA
11592,USA
11593,USA
11594,USA
11595,USA
11596,USA
11597,USA
11598,CAN
11599,CAN
11600,GBR
11601,AUS
11602,USA
11603,USA
11604,USA
11605,CAN
11606,GBR
11607,USA
11608,GBR
11609,ITA
11610,BEL
11611,BEL
11612,BEL
11613,DEU
11614,CZE
11615,DEU
11616,DEU
11617,DEU
11618,SVN
11619,USA
11620,GBR
11621,GBR
11622,CUB
11623,CUB
11624,CUB
11625,GBR
11626,AUS
11627,HRV
11628,USA
11629,DEU
11630,DEU
11631,DEU
11632,DEU
11633,DEU
11634,USA
11635,SWE
11636,AUS
11637,FRA
11638,NOR
11639,FRA
11640,POL
11641,NLD
11642,GBR
11643,GBR
11644,USA
11645,USA
11646,USA
11647,USA
11648,USA
11649,USA
11650,USA
11651,GBR
11652,AUS
11653,USA
11654,AUS
11655,CHE
11656,USA
11657,USA
11658,CHE
11659,CHE
11660,AUT
11661,AUT
11662,DEU
11663,AUS
11664,USA
11665,USA
11666,USA
11667,USA
11668,USA
11669,USA
11670,USA
11671,USA
11672,GBR
11673,GBR
11674,AUS
11675,ROU
11676,ROU
11677,ROU
11678,ROU
11679,ROU
11680,ROU
11681,AUS
11682,RUS
11683,RUS
11684,RUS
11685,RUS
11686,RUS
11687,RUS
11688,DEU
11689,AUS
11690,ITA
11691,USA
11692,GBR
11693,DEU
11694,DNK
11695,DNK
11696,USA
11697,USA
11698,NOR
11699,NOR
11700,NOR
11701,NOR
11702,GBR
11703,USA
11704,DEU
11705,GBR
11706,NOR
11707,NOR
11708,RUS
11709,RUS
11710,RUS
11711,BEL
11712,RUS
11713,RUS
11714,RUS
11715,BLR
11716,BLR
11717,RUS
11718,RUS
11719,RUS
11720,RUS
11721,RUS
11722,RUS
11723,RUS
11724,RUS
11725,RUS
11726,RUS
11727,RUS
11728,RUS
11729,LTU
11730,FRA
11731,FRA
11732,FRA
11733,FRA
11734,RUS
11735,RUS
11736,RUS
11737,ROU
11738,CHE
11739,DEU
11740,FRA
11741,DEU
11742,DEU
11743,NLD
11744,NLD
11745,CZE
11746,HUN
11747,USA
11748,USA
11749,DEU
11750,NLD
11751,NLD
11752,USA
11753,RUS
11754,RUS
11755,RUS
11756,RUS
11757,SWE
11758,SWE
11759,SWE
11760,FIN
11761,FIN
11762,BEL
11763,BEL
11764,DEU
11765,DEU
11766,FIN
11767,FIN
11768,POL
11769,NLD
11770,NLD
11771,NLD
11772,NLD
11773,DEU
11774,DEU
11775,DEU
11776,DEU
11777,DEU
11778,DEU
11779,DEU
11780,DEU
11781,DEU
11782,DEU
11783,ITA
11784,DEU
11785,DEU
11786,DEU
11787,DEU
11788,DEU
11789,DEU
11790,DEU
11791,DEU
11792,RUS
11793,RUS
11794,HUN
11795,FRA
11796,FRA
11797,USA
11798,ITA
11799,GBR
11800,USA
11801,DEU
11802,GRC
11803,AUS
11804,CAN
11805,CAN
11806,CAN
11807,CAN
11808,AUS
11809,AUS
11810,USA
11811,BGR
11812,BGR
11813,BGR
11814,BGR
11815,BGR
11816,RUS
11817,GBR
11818,GBR
11819,GBR
11820,AUT
11821,AUT
11822,AUT
11823,AUT
11824,AUT
11825,AUT
11826,GBR
11827,POL
11828,POL
11829,FRA
11830,RUS
11831,POL
11832,POL
11833,DEU
11834,ROU
11835,FRA
11836,FRA
11837,FRA
11838,CHE
11839,DEU
11840,DEU
11841,USA
11842,CHE
11843,DEU
11844,ITA
11845,MDA
11846,SWE
11847,CHE
11848,CHE
11849,DEU
11850,BGR
11851,BGR
11852,USA
11853,GRC
11854,POL
11855,DNK
11856,DNK
11857,NOR
11858,NOR
11859,NOR
11860,NOR
11861,NOR
11862,NOR
11863,NOR
11864,NOR
11865,NOR
11866,NOR
11867,NOR
11868,NOR
11869,NOR
11870,NOR
11871,NOR
11872,ITA
11873,AUT
11874,CHN
11875,KOR
11876,KOR
11877,KOR
11878,CHN
11879,CHN
11880,CHN
11881,CHN
11882,PRK
11883,CHN
11884,ITA
11885,ITA
11886,ITA
11887,ESP
11888,ESP
11889,CAN
11890,HUN
11891,CZE
11892,DEU
11893,HRV
11894,CAN
11895,ITA
11896,RUS
11897,LTU
11898,FRA
11899,FRA
11900,FRA
11901,FRA
11902,NLD
11903,CHE
11904,CHE
11905,USA
11906,USA
11907,FRA
11908,BRA
11909,ESP
11910,ITA
11911,MEX
11912,ARG
11913,FRA
11914,ITA
11915,AUS
11916,GBR
11917,USA
11918,USA
11919,CAN
11920,MEX
11921,FRA
11922,FRA
11923,FRA
11924,FRA
11925,ITA
11926,ITA
11927,ITA
11928,BRA
11929,FRA
11930,NLD
11931,FRA
11932,FRA
11933,USA
11934,USA
11935,FRA
11936,FRA
11937,FRA
11938,FRA
11939,ESP
11940,ESP
11941,BRA
11942,BRA
11943,FRA
11944,FRA
11945,FRA
11946,FRA
11947,FRA
11948,ARG
11949,FRA
11950,CAN
11951,CAN
11952,CAN
11953,BRA
11954,GBR
11955,GBR
11956,FRA
11957,FRA
11958,FRA
11959,FRA
11960,FRA
11961,USA
11962,HUN
11963,DEU
11964,DEU
11965,DEU
11966,DEU
11967,NOR
11968,NOR
11969,NOR
11970,DEU
11971,DEU
11972,RUS
11973,ARG
11974,ARG
11975,AUS
11976,CAN
11977,HUN
11978,HUN
11979,HUN
11980,HUN
11981,HUN
11982,RUS
11983,RUS
11984,RUS
11985,SWE
11986,SWE
11987,IDN
11988,IDN
11989,RUS
11990,BGR
11991,RUS
11992,RUS
11993,NOR
11994,NOR
11995,ROU
11996,ROU
11997,TUR
11998,TUR
11999,DEU
12000,USA
12001,USA
12002,GBR
12003,GBR
12004,SWE
12005,USA
12006,ISL
12007,GBR
12008,GBR
12009,NOR
12010,NLD
12011,DEU
12012,DEU
12013,DEU
12014,DEU
12015,CHE
12016,CHE
12017,CHE
12018,DEU
12019,DEU
12020,DEU
12021,DEU
12022,CHE
12023,CHN
12024,CHN
12025,CHN
12026,CHN
12027,CHN
12028,CHN
12029,CHN
12030,CHN
12031,CHN
12032,CHN
12033,CHN
12034,CHN
12035,CHN
12036,CHN
12037,CHN
12038,CHN
12039,CHN
12040,CHN
12041,CHN
12042,CHN
12043,CHN
12044,CHN
12045,CHN
12046,ESP
12047,RUS
12048,HUN
12049,USA
12050,HUN
12051,CAN
12052,RUS
12053,RUS
12054,RUS
12055,RUS
12056,RUS
12057,RUS
12058,RUS
12059,RUS
12060,AUT
12061,RUS
12062,RUS
12063,RUS
12064,RUS
12065,RUS
12066,RUS
12067,RUS
12068,RUS
12069,RUS
12070,RUS
12071,RUS
12072,RUS
12073,JPN
12074,JPN
12075,JPN
12076,JPN
12077,JPN
12078,CAN
12079,DEU
12080,SWE
12081,SWE
12082,SWE
12083,SWE
12084,SWE
12085,SWE
12086,SWE
12087,SWE
12088,SWE
12089,SWE
12090,SWE
12091,SWE
12092,SWE
12093,SWE
12094,SWE
12095,SWE
12096,BRA
12097,BRA
12098,USA
12099,USA
12100,USA
12101,SWE
12102,ISL
12103,AUS
12104,RUS
12105,DEU
12106,CHE
12107,POL
12108,DEU
12109,CUB
12110,ARG
12111,ARG
12112,ARG
12113,USA
12114,DEU
12115,DEU
12116,DEU
12117,DEU
12118,USA
12119,CHE
12120,CHE
12121,CHE
12122,CHE
12123,HUN
12124,HUN
12125,CHE
12126,CHE
12127,CHE
12128,FRA
12129,FRA
12130,GBR
12131,GBR
12132,FRA
12133,FRA
12134,FRA
12135,BEL
12136,ROU
12137,ROU
12138,CAN
12139,ISL
12140,ISL
12141,RUS
12142,RUS
12143,KOR
12144,KOR
12145,KOR
12146,KOR
12147,KOR
12148,KOR
12149,CAN
12150,HUN
12151,HUN
12152,HUN
12153,HUN
12154,HUN
12155,HUN
12156,HUN
12157,HUN
12158,HUN
12159,CAN
12160,SWE
12161,AUS
12162,AUS
12163,BGR
12164,HUN
12165,CHE
12166,CHE
12167,ROU
12168,ROU
12169,HUN
12170,HUN
12171,HUN
12172,HUN
12173,HUN
12174,BGR
12175,BGR
12176,BGR
12177,HUN
12178,HUN
12179,POL
12180,KOR
12181,KOR
12182,KOR
12183,DEU
12184,DEU
12185,SWE
12186,SWE
12187,SWE
12188,DEU
12189,NOR
12190,AUT
12191,AUT
12192,CHE
12193,AUT
12194,AUT
12195,CHE
12196,DEU
12197,DEU
12198,DEU
12199,USA
12200,DEU
12201,DEU
12202,DEU
12203,DEU
12204,FIN
12205,FIN
12206,RUS
12207,RUS
12208,CZE
12209,USA
12210,DEU
12211,IRN
12212,ARG
12213,CHE
12214,CHE
12215,DEU
12216,USA
12217,AUS
12218,AUS
12219,AUS
12220,AUS
12221,AUS
12222,AUS
12223,AUS
12224,DEU
12225,DEU
12226,DEU
12227,DEU
12228,DEU
12229,ROU
12230,DZA
12231,IRN
12232,DEU
12233,NZL
12234,AUT
12235,AUT
12236,BEL
12237,USA
12238,USA
12239,AUS
12240,BEL
12241,BEL
12242,DEU
12243,DEU
12244,DEU
12245,DEU
12246,JPN
12247,AUT
12248,AUT
12249,SWE
12250,SWE
12251,NOR
12252,DEU
12253,DEU
12254,DEU
12255,NOR
12256,DEU
12257,NOR
12258,NOR
12259,NOR
12260,NOR
12261,NOR
12262,NOR
12263,DEU
12264,SWE
12265,DEU
12266,AUS
12267,USA
12268,USA
12269,CAN
12270,SWE
12271,SWE
12272,JPN
12273,JPN
12274,JPN
12275,JPN
12276,SWE
12277,FIN
12278,FIN
12279,CHE
12280,DEU
12281,SWE
12282,USA
12283,USA
12284,USA
12285,USA
12286,DEU
12287,DEU
12288,DEU
12289,DEU
12290,AUT
12291,GBR
12292,NZL
12293,AUS
12294,AUS
12295,USA
12296,DEU
12297,CZE
12298,USA
12299,USA
12300,USA
12301,USA
12302,SWE
12303,SWE
12304,DEU
12305,DEU
12306,DEU
12307,CZE
12308,HUN
12309,HUN
12310,HUN
12311,HUN
12312,DNK
12313,HUN
12314,SWE
12315,SWE
12316,NLD
12317,FIN
12318,JPN
12319,FIN
12320,FIN
12321,FIN
12322,FIN
12323,FIN
12324,FIN
12325,FIN
12326,USA
12327,HUN
12328,HUN
12329,HUN
12330,HUN
12331,NZL
12332,DEU
12333,FRA
12334,FRA
12335,USA
12336,CAN
12337,CAN
12338,USA
12339,USA
12340,CAN
12341,DNK
12342,USA
12343,USA
12344,USA
12345,USA
12346,USA
12347,USA
12348,USA
12349,USA
12350,USA
12351,USA
12352,USA
12353,USA
12354,USA
12355,USA
12356,SWE
12357,SWE
12358,SWE
12359,USA
12360,CAN
12361,CAN
12362,USA
12363,USA
12364,USA
12365,USA
12366,USA
12367,USA
12368,USA
12369,USA
12370,USA
12371,USA
12372,USA
12373,GBR
12374,GBR
12375,GBR
12376,GBR
12377,GBR
12378,SWE
12379,USA
12380,ISL
12381,GBR
12382,USA
12383,USA
12384,GBR
12385,GBR
12386,HUN
12387,FIN
12388,CAN
12389,USA
12390,NOR
12391,NOR
12392,GBR
12393,GBR
12394,GBR
12395,GBR
12396,NOR
12397,NOR
12398,POL
12399,SWE
12400,NOR
12401,NOR
12402,JPN
12403,JPN
12404,JPN
12405,JPN
12406,JPN
12407,JPN
12408,FIN
12409,FIN
12410,FIN
12411,FIN
12412,DNK
12413,DEU
12414,RUS
12415,CAN
12416,DEU
12417,DEU
12418,DEU
12419,FRA
12420,FRA
12421,DEU
12422,CAN
12423,CAN
12424,CAN
12425,CAN
12426,CAN
12427,CAN
12428,PAK
12429,PAK
12430,PAK
12431,PAK
12432,USA
12433,USA
12434,GBR
12435,CAN
12436,CAN
12437,USA
12438,AUS
12439,GBR
12440,CAN
12441,IRL
12442,USA
12443,USA
12444,GBR
12445,USA
12446,USA
12447,USA
12448,USA
12449,USA
12450,USA
12451,USA
12452,USA
12453,DZA
12454,HUN
12455,SWE
12456,SWE
12457,USA
12458,USA
12459,USA
12460,USA
12461,AUT
12462,AUT
12463,HUN
12464,HUN
12465,HUN
12466,NOR
12467,RUS
12468,GBR
12469,USA
12470,USA
12471,USA
12472,USA
12473,IND
12474,IND
12475,AUS
12476,AUS
12477,AUS
12478,HUN
12479,DEU
12480,DEU
12481,GBR
12482,GBR
12483,USA
12484,USA
12485,SWE
12486,CZE
12487,JPN
12488,KOR
12489,KOR
12490,PRK
12491,KOR
12492,KOR
12493,KOR
12494,KOR
12495,KOR
12496,PRK
12497,KOR
12498,KOR
12499,KOR
12500,CHN
12501,CHN
12502,CHN
12503,CHN
12504,CHN
12505,DEU
12506,JPN
12507,CZE
12508,CHN
12509,USA
12510,USA
12511,CAN
12512,JPN
12513,IDN
12514,USA
12515,USA
12516,DEU
12517,CHE
12518,USA
12519,JPN
12520,USA
12521,USA
12522,DNK
12523,DEU
12524,DEU
12525,DEU
12526,DEU
12527,AUS
12528,AUS
12529,NOR
12530,NOR
12531,NOR
12532,NOR
12533,NOR
12534,NOR
12535,CHE
12536,CHE
12537,CHE
12538,CHE
12539,DEU
12540,DEU
12541,DEU
12542,DEU
12543,AUS
12544,USA
12545,GBR
12546,GBR
12547,CAN
12548,USA
12549,DEU
12550,DEU
12551,DEU
12552,FIN
12553,DEU
12554,DEU
12555,DEU
12556,NZL
12557,GBR
12558,CHE
12559,FIN
12560,FIN
12561,SWE
12562,THA
12563,CAN
12564,DEU
12565,BEL
12566,NOR
12567,NOR
12568,NOR
12569,DNK
12570,DNK
12571,NOR
12572,USA
12573,USA
12574,USA
12575,USA
12576,USA
12577,USA
12578,USA
12579,DNK
12580,DNK
12581,DNK
12582,DNK
12583,DNK
12584,DNK
12585,DNK
12586,DNK
12587,DNK
12588,NOR
12589,NOR
12590,USA
12591,DNK
12592,DNK
12593,NOR
12594,DEU
12595,NOR
12596,DNK
12597,DNK
12598,NOR
12599,DNK
12600,DNK
12601,DNK
12602,DNK
12603,DNK
12604,DNK
12605,DNK
12606,DNK
12607,USA
12608,DNK
12609,DNK
12610,DNK
12611,DNK
12612,SWE
12613,DNK
12614,USA
12615,AUS
12616,DNK
12617,DNK
12618,DNK
12619,DNK
12620,BEL
12621,DNK
12622,DNK
12623,SWE
12624,DNK
12625,DNK
12626,DNK
12627,DNK
12628,NOR
12629,NOR
12630,DNK
12631,DNK
12632,DNK
12633,DNK
12634,FRA
12635,AUS
12636,AUS
12637,AUS
12638,AUS
12639,AUS
12640,CAN
12641,GBR
12642,SWE
12643,SWE
12644,SWE
12645,SWE
12646,SWE
12647,SWE
12648,SWE
12649,JPN
12650,CHN
12651,CHN
12652,DEU
12653,DEU
12654,FIN
12655,JPN
12656,JPN
12657,JPN
12658,JPN
12659,JPN
12660,JPN
12661,CHE
12662,NOR
12663,NOR
12664,HUN
12665,USA
12666,JPN
12667,DEU
12668,USA
12669,USA
12670,GBR
12671,GBR
12672,USA
12673,USA
12674,USA
12675,AUS
12676,AUS
12677,USA
12678,USA
12679,GBR
12680,AUS
12681,AUS
12682,AUS
12683,AUS
12684,GBR
12685,AUS
12686,AUS
12687,AUS
12688,FRA
12689,USA
12690,USA
12691,USA
12692,USA
12693,FRA
12694,USA
12695,USA
12696,FRA
12697,GBR
12698,USA
12699,HUN
12700,CAN
12701,NLD
12702,NLD
12703,NLD
12704,DEU
12705,FIN
12706,FIN
12707,FIN
12708,USA
12709,USA
12710,USA
12711,GBR
12712,SWE
12713,CAN
12714,SWE
12715,USA
12716,GBR
12717,USA
12718,USA
12719,USA
12720,CAN
12721,CAN
12722,CAN
12723,CAN
12724,CAN
12725,FRA
12726,USA
12727,USA
12728,USA
12729,GBR
12730,GBR
12731,USA
12732,USA
12733,USA
12734,USA
12735,USA
12736,USA
12737,USA
12738,USA
12739,USA
12740,CAN
12741,USA
12742,CAN
12743,USA
12744,USA
12745,GBR
12746,GBR
12747,USA
12748,USA
12749,USA
12750,USA
12751,GBR
12752,USA
12753,USA
12754,ZAF
12755,USA
12756,USA
12757,USA
12758,GBR
12759,AUS
12760,AUS
12761,AUS
12762,AUS
12763,AUS
12764,AUS
12765,DEU
12766,DEU
12767,USA
12768,GBR
12769,CAN
12770,DNK
12771,DNK
12772,DEU
12773,DEU
12774,CAN
12775,ZAF
12776,GBR
12777,POL
12778,DEU
12779,CHE
12780,CZE
12781,DNK
12782,DEU
12783,IDN
12784,USA
12785,DEU
12786,NLD
12787,USA
12788,DEU
12789,FIN
12790,USA
12791,USA
12792,SWE
12793,DNK
12794,DNK
12795,DNK
12796,DEU
12797,GBR
12798,ZAF
12799,NOR
12800,NOR
12801,DEU
12802,DEU
12803,IDN
12804,DEU
12805,DEU
12806,DEU
12807,DEU
12808,DEU
12809,DEU
12810,DEU
12811,DEU
12812,JPN
12813,CZE
12814,CZE
12815,ITA
12816,AUT
12817,JPN
12818,JPN
12819,GBR
12820,GBR
12821,AUS
12822,AUS
12823,DEU
12824,DNK
12825,EGY
12826,PAK
12827,DEU
12828,DEU
12829,DEU
12830,NOR
12831,CAN
12832,USA
12833,USA
12834,FIN
12835,FIN
12836,FIN
12837,HUN
12838,JPN
12839,USA
12840,USA
12841,USA
12842,GBR
12843,GBR
12844,GBR
12845,HUN
12846,HUN
12847,NOR
12848,NOR
12849,NOR
12850,GBR
12851,USA
12852,USA
12853,NOR
12854,NOR
12855,NOR
12856,USA
12857,NOR
12858,NOR
12859,NOR
12860,JAM
12861,JAM
12862,JAM
12863,NOR
12864,DEU
12865,DEU
12866,DEU
12867,DEU
12868,DNK
12869,DEU
12870,DEU
12871,DEU
12872,CHE
12873,CHE
12874,DEU
12875,DEU
12876,DEU
12877,DEU
12878,HUN
12879,FIN
12880,FIN
12881,FIN
12882,FIN
12883,CZE
12884,CZE
12885,CZE
12886,CZE
12887,SWE
12888,USA
12889,USA
12890,DEU
12891,CZE
12892,RUS
12893,CAN
12894,AUS
12895,AUS
12896,AUS
12897,GBR
12898,GBR
12899,USA
12900,USA
12901,AUS
12902,USA
12903,GBR
12904,DEU
12905,DEU
12906,AUS
12907,JPN
12908,PAK
12909,JPN
12910,JPN
12911,AUT
12912,IRN
12913,CAN
12914,USA
12915,USA
12916,USA
12917,USA
12918,USA
12919,USA
12920,AUS
12921,AUS
12922,GBR
12923,GBR
12924,GBR
12925,AUS
12926,CAN
12927,RUS
12928,USA
12929,USA
12930,HUN
12931,FRA
12932,USA
12933,CHN
12934,CHN
12935,CHN
12936,CHN
12937,CHN
12938,CHN
12939,CHN
12940,CHN
12941,CHN
12942,CHN
12943,CHN
12944,CHN
12945,CHN
12946,CHN
12947,CHN
12948,CHN
12949,CHN
12950,CHN
12951,CHN
12952,CHN
12953,CHN
12954,CAN
12955,NLD
12956,USA
12957,GBR
12958,USA
12959,AUS
12960,AUS
12961,AUS
12962,USA
12963,USA
12964,USA
12965,CAN
12966,CAN
12967,USA
12968,USA
12969,GBR
12970,GBR
12971,GBR
12972,GBR
12973,USA
12974,USA
12975,USA
12976,USA
12977,USA
12978,USA
12979,GBR
12980,GBR
12981,CAN
12982,USA
12983,USA
12984,USA
12985,USA
12986,USA
12987,BEL
12988,FRA
12989,CAN
12990,USA
12991,USA
12992,USA
12993,AUT
12994,AUT
12995,USA
12996,DNK
12997,SWE
12998,SWE
12999,DEU
13000,CAN
13001,CAN
13002,CAN
13003,CAN
13004,USA
13005,USA
13006,USA
13007,USA
13008,CAN
13009,SWE
13010,SWE
13011,USA
13012,SWE
13013,SWE
13014,SWE
13015,USA
13016,USA
13017,USA
13018,USA
13019,USA
13020,SWE
13021,NLD
13022,NLD
13023,NLD
13024,DEU
13025,CAN
13026,AUS
13027,ZAF
13028,CAN
13029,CAN
13030,CAN
13031,CAN
13032,CAN
13033,CHE
13034,CHE
13035,CHE
13036,CHE
13037,GBR
13038,HUN
13039,HUN
13040,AUS
13041,USA
13042,USA
13043,NOR
13044,CAN
13045,NOR
13046,DEU
13047,DEU
13048,NOR
13049,USA
13050,USA
13051,USA
13052,USA
13053,USA
13054,USA
13055,IRN
13056,DEU
13057,DEU
13058,DEU
13059,DEU
13060,USA
13061,USA
13062,USA
13063,USA
13064,USA
13065,USA
13066,USA
13067,USA
13068,USA
13069,USA
13070,DEU
13071,DEU
13072,NOR
13073,NLD
13074,NLD
13075,NLD
13076,NLD
13077,FIN
13078,DEU
13079,CAN
13080,CAN
13081,DEU
13082,AUT
13083,DEU
13084,DEU
13085,DEU
13086,DEU
13087,USA
13088,DEU
13089,DEU
13090,USA
13091,DEU
13092,DEU
13093,DEU
13094,DEU
13095,NLD
13096,DEU
13097,DEU
13098,DEU
13099,DEU
13100,FIN
13101,DEU
13102,FRA
13103,DEU
13104,ARG
13105,USA
13106,USA
13107,USA
13108,AUT
13109,CZE
13110,CZE
13111,NOR
13112,CZE
13113,CZE
13114,DEU
13115,DEU
13116,DEU
13117,NLD
13118,NLD
13119,USA
13120,LUX
13121,BRA
13122,USA
13123,NOR
13124,NOR
13125,NOR
13126,NOR
13127,NOR
13128,NOR
13129,NOR
13130,NOR
13131,NOR
13132,FIN
13133,FRA
13134,BEL
13135,CZE
13136,BEL
13137,NLD
13138,NLD
13139,NLD
13140,NLD
13141,BRA
13142,BRA
13143,SWE
13144,USA
13145,CAN
13146,SWE
13147,DEU
13148,DEU
13149,DEU
13150,HUN
13151,SWE
13152,SWE
13153,SWE
13154,SWE
13155,SWE
13156,SWE
13157,FIN
13158,SWE
13159,SWE
13160,SWE
13161,AUS
13162,AUS
13163,DEU
13164,DEU
13165,DEU
13166,DEU
13167,DEU
13168,DEU
13169,DEU
13170,DEU
13171,FIN
