,ISO_A3
543,GBR
544,ITA
545,USA
546,ITA
547,SWE
548,SWE
549,RUS
550,RUS
551,ARG
552,SWE
553,CAN
554,SWE
555,SWE
556,SWE
557,SWE
558,SWE
559,SWE
560,CMR
561,BRA
562,ESP
563,RUS
564,NGA
565,NOR
566,NOR
567,NOR
568,NOR
569,NOR
570,NOR
571,SWE
572,SWE
573,SWE
574,RUS
575,NOR
576,NOR
577,CHE
578,DEU
579,DEU
580,ITA
581,CHE
582,GBR
583,GBR
584,CHL
585,USA
586,ESP
587,CUB
588,CUB
589,CUB
590,COL
591,COL
592,ITA
593,ITA
594,BRA
595,ITA
596,ITA
597,EGY
598,RUS
599,RUS
600,RUS
601,RUS
602,RUS
603,RUS
604,LUX
605,GHA
606,USA
607,ROU
608,ROU
609,ROU
610,ROU
611,ROU
612,ROU
613,ROU
614,GHA
615,DEU
616,RUS
617,BRA
618,ITA
619,GHA
620,ESP
621,FRA
622,FRA
623,ESP
624,ESP
625,ESP
626,ESP
627,ESP
628,ARG
629,BRA
630,BRA
631,BRA
632,BRA
633,ESP
634,ESP
635,ITA
636,NGA
637,ITA
638,USA
639,ITA
640,HUN
641,SWE
642,DEU
643,FRA
644,RUS
645,ITA
646,USA
647,USA
648,CHE
649,CHE
650,CHE
651,CHE
652,DEU
653,NGA
654,USA
655,GBR
656,GBR
657,AUS
658,ESP
659,BWA
660,RUS
661,CHE
662,CHE
663,ARM
664,GBR
665,DEU
666,DEU
667,TUN
668,FRA
669,FRA
670,FRA
671,CAN
672,NOR
673,NOR
674,NOR
675,NOR
676,NGA
677,NGA
678,CAN
679,KOR
680,KOR
681,KOR
682,KOR
683,KOR
684,KOR
685,PRK
686,PRK
687,KOR
688,KOR
689,KOR
690,KOR
691,KOR
692,RUS
693,RUS
694,RUS
695,RUS
696,KOR
697,CHN
698,CHN
699,CHN
700,CHN
701,BRA
702,BRA
703,CAN
704,BGR
705,BLR
706,ITA
707,HRV
708,NLD
709,POL
710,FRA
711,SWE
712,SWE
713,CHE
714,USA
715,DNK
716,NOR
717,DNK
718,DNK
719,DNK
720,NOR
721,DNK
722,DNK
723,DNK
724,DNK
725,NOR
726,NOR
727,NOR
728,DNK
729,DNK
730,DNK
731,NOR
732,DNK
733,DNK
734,NOR
735,NOR
736,NOR
737,DNK
738,NOR
739,NOR
740,NOR
741,DNK
742,NOR
743,DNK
744,DNK
745,DNK
746,NOR
747,FIN
748,DNK
749,DNK
750,NOR
751,NOR
752,DNK
753,NOR
754,BRA
755,BRA
756,BRA
757,USA
758,USA
759,USA
760,USA
761,AUS
762,AUS
763,CAN
764,USA
765,USA
766,NZL
767,USA
768,USA
769,CAN
770,USA
771,AUS
772,USA
773,USA
774,USA
775,GBR
776,USA
777,AUS
778,USA
779,AUS
780,USA
781,USA
782,CAN
783,GBR
784,GBR
785,USA
786,SWE
787,SWE
788,SWE
789,SWE
790,SWE
791,SWE
792,SWE
793,SWE
794,SWE
795,SWE
796,SWE
797,SWE
798,SWE
799,SWE
800,SWE
801,SWE
802,SWE
803,SWE
804,SWE
805,SWE
806,SWE
807,SWE
808,SWE
809,SWE
810,SWE
811,SWE
812,SWE
813,SWE
814,SWE
815,SWE
816,SWE
817,SWE
818,SWE
819,SWE
820,SWE
821,AUS
822,SWE
823,SWE
824,SWE
825,SWE
826,SWE
827,SWE
828,SWE
829,SWE
830,SWE
831,SWE
832,SWE
833,SWE
834,SWE
835,SWE
836,DEU
837,RUS
838,RUS
839,JPN
840,JPN
841,JPN
842,JPN
843,ARG
844,BRA
845,URY
846,URY
847,BRA
848,USA
849,FRA
850,FRA
851,FRA
852,BRA
853,USA
854,NOR
855,NOR
856,NOR
857,ITA
858,ROU
859,ROU
860,BRA
861,BRA
862,ITA
863,ITA
864,CHE
865,CHE
866,GRC
867,CHE
868,NOR
869,NOR
870,NOR
871,AUS
872,AUS
873,USA
874,USA
875,GBR
876,AUS
877,USA
878,USA
879,CAN
880,RUS
881,RUS
882,RUS
883,RUS
884,RUS
885,RUS
886,GRC
887,RUS
888,RUS
889,RUS
890,RUS
891,RUS
892,RUS
893,RUS
894,RUS
895,RUS
896,RUS
897,RUS
898,RUS
899,RUS
900,RUS
901,RUS
902,RUS
903,FRA
904,FRA
905,ROU
906,UKR
907,CZE
908,AUT
909,RUS
910,POL
911,POL
912,ITA
913,ARG
914,ITA
915,BGR
916,BGR
917,BGR
918,BGR
919,DEU
920,DEU
921,DEU
922,DEU
923,DEU
924,DEU
925,DEU
926,DEU
927,DEU
928,DEU
929,ITA
930,USA
931,ITA
932,CHE
933,CHE
934,ESP
935,HUN
936,NGA
937,RUS
938,RUS
939,RUS
940,RUS
941,RUS
942,RUS
943,RUS
944,RUS
945,RUS
946,FRA
947,FRA
948,ROU
949,ROU
950,DEU
951,DEU
952,NOR
953,NOR
954,NOR
955,NLD
956,AUS
957,AUS
958,CHE
959,CHE
960,CHE
961,GBR
962,JPN
963,ITA
964,RUS
965,IRN
966,RUS
967,RUS
968,FRA
969,DEU
970,DEU
971,ITA
972,ITA
973,ITA
974,CHE
975,GBR
976,BEL
977,BEL
978,BEL
979,BEL
980,BEL
981,BEL
982,CAN
983,HUN
984,HUN
985,POL
986,FRA
987,USA
988,USA
989,USA
990,USA
991,BEL
992,GUY
993,USA
994,ITA
995,IND
996,POL
997,POL
998,USA
999,AUS
1000,POL
1001,POL
1002,ITA
1003,ARG
1004,ARG
1005,ITA
1006,RUS
1007,RUS
1008,RUS
1009,UKR
1010,RUS
1011,SWE
1012,SWE
1013,SWE
1014,RUS
1015,RUS
1016,FIN
1017,FIN
1018,RUS
1019,RUS
1020,RUS
1021,RUS
1022,RUS
1023,PAK
1024,PAK
1025,PAK
1026,JPN
1027,JPN
1028,MAR
1029,MAR
1030,TUR
1031,RUS
1032,NGA
1033,RUS
1034,RUS
1035,DEU
1036,DEU
1037,DEU
1038,DEU
1039,NOR
1040,NOR
1041,FRA
1042,ROU
1043,ROU
1044,BGR
1045,DEU
1046,NLD
1047,SWE
1048,AUT
1049,GBR
1050,GBR
1051,USA
1052,CAN
1053,CAN
1054,CAN
1055,RUS
1056,MEX
1057,TUR
1058,FRA
1059,ESP
1060,ISR
1061,HUN
1062,CUB
1063,CUB
1064,JPN
1065,JPN
1066,JPN
1067,JPN
1068,JPN
1069,JPN
1070,JPN
1071,JPN
1072,ESP
1073,FRA
1074,HRV
1075,RUS
1076,BRA
1077,ITA
1078,ROU
1079,ROU
1080,ROU
1081,ROU
1082,ESP
1083,ESP
1084,ESP
1085,ESP
1086,FRA
1087,GBR
1088,GBR
1089,GBR
1090,CAN
1091,CAN
1092,NZL
1093,GBR
1094,ITA
1095,ITA
1096,GBR
1097,ITA
1098,ITA
1099,CUB
1100,CUB
1101,DEU
1102,NOR
1103,BEL
1104,ITA
1105,ITA
1106,CUB
1107,USA
1108,IDN
1109,USA
1110,USA
1111,ITA
1112,JPN
1113,JPN
1114,BLR
1115,URY
1116,URY
1117,BRA
1118,RUS
1119,RUS
1120,DEU
1121,DEU
1122,ITA
1123,ROU
1124,ROU
1125,ROU
1126,ROU
1127,CAN
1128,GBR
1129,GBR
1130,GBR
1131,USA
1132,TTO
1133,USA
1134,USA
1135,USA
1136,USA
1137,AUS
1138,AUS
1139,CAN
1140,GBR
1141,AUS
1142,AUS
1143,USA
1144,USA
1145,USA
1146,USA
1147,ESP
1148,ESP
1149,DEU
1150,DEU
1151,DEU
1152,DEU
1153,DNK
1154,NOR
1155,RUS
1156,USA
1157,DEU
1158,DEU
1159,CAN
1160,CAN
1161,DEU
1162,GBR
1163,FRA
1164,FRA
1165,NOR
1166,SWE
1167,ESP
1168,URY
1169,ESP
1170,ITA
1171,USA
1172,CUB
1173,FRA
1174,ARG
1175,ARG
1176,CHL
1177,RUS
1178,USA
1179,RUS
1180,RUS
1181,RUS
1182,KAZ
1183,USA
1184,RUS
1185,ZAF
1186,FRA
1187,FRA
1188,ESP
1189,TUR
1190,RUS
1191,RUS
1192,RUS
1193,RUS
1194,RUS
1195,ARM
1196,SWE
1197,SWE
1198,SWE
1199,SWE
1200,SWE
1201,BLR
1202,GHA
1203,RUS
1204,RUS
1205,RUS
1206,JPN
1207,LTU
1208,JPN
1209,GEO
1210,GEO
1211,USA
1212,GHA
1213,KEN
1214,KEN
1215,RUS
1216,SWE
1217,SWE
1218,USA
1219,DEU
1220,AUT
1221,CHE
1222,FIN
1223,ISL
1224,PAK
